Date,Strawberry
10/22/2011,1.212425456
10/23/2011,1.211448506
10/24/2011,1.03
10/25/2011,1
10/26/2011,1
10/27/2011,1
10/28/2011,1
10/29/2011,0.996408925
10/30/2011,1.01265882
10/31/2011,1
11/1/2011,1
11/2/2011,0.89
11/3/2011,0.89
11/4/2011,0.89
11/5/2011,0.888204322
11/6/2011,0.917355285
11/7/2011,1
11/8/2011,1
11/9/2011,1.28
11/10/2011,1.33
11/11/2011,1.357726798
11/12/2011,1.39311193
11/13/2011,1.413629398
11/14/2011,1.56
11/15/2011,1.56
11/16/2011,1.72
11/17/2011,1.72
11/18/2011,1.72
11/19/2011,1.740903602
11/20/2011,1.753818259
11/21/2011,1.78
11/22/2011,1.78
11/23/2011,1.78
11/24/2011,1.781871126
11/25/2011,1.78
11/26/2011,1.786698565
11/27/2011,1.774982498
11/28/2011,1.89
11/29/2011,1.89
11/30/2011,1.89
12/1/2011,1.89
12/2/2011,1.89
12/3/2011,1.904996321
12/4/2011,1.909803734
12/5/2011,1.89
12/6/2011,1.98
12/7/2011,1.98
12/8/2011,1.78
12/9/2011,1.78
12/10/2011,1.765964732
12/11/2011,1.75362514
12/12/2011,1.89
12/13/2011,1.89
12/14/2011,1.89
12/15/2011,1.89
12/16/2011,1.89
12/17/2011,1.891524122
12/18/2011,1.891227648
12/19/2011,1.28
12/20/2011,1.28
12/21/2011,1
12/22/2011,1
12/23/2011,1
12/24/2011,0.966349409
12/25/2011,0.967873619
12/26/2011,0.988923237
12/27/2011,1
12/28/2011,0.94
12/29/2011,0.94
12/30/2011,0.94
12/31/2011,0.96386765
1/1/2012,0.97865288
1/2/2012,1.014004037
1/3/2012,1.030993507
1/4/2012,1.048196659
1/5/2012,1.052780018
1/6/2012,1.065367267
1/7/2012,1.074284629
1/8/2012,1.087469385
1/9/2012,1.10747169
1/10/2012,1.126066998
1/11/2012,1.13396968
1/12/2012,1.143310831
1/13/2012,1.145011351
1/14/2012,1.161993132
1/15/2012,1.165937856
1/16/2012,1.18618165
1/17/2012,1.1950586
1/18/2012,1.205061541
1/19/2012,1.206464694
1/20/2012,1.209727601
1/21/2012,1.218068645
1/22/2012,1.217717901
1/23/2012,1.23728399
1/24/2012,1.248334781
1/25/2012,1.252888457
1/26/2012,1.256509171
1/27/2012,1.262567923
1/28/2012,1.304769353
1/29/2012,1.309546993
1/30/2012,1.310780094
1/31/2012,1.309540287
2/1/2012,1.308404461
2/2/2012,1.316649661
2/3/2012,1.321306423
2/4/2012,1.361906574
2/5/2012,1.361906574
2/6/2012,1.361906574
2/7/2012,1.361906574
2/8/2012,1.361906574
2/9/2012,1.361906574
2/10/2012,1.361906574
2/11/2012,1.361906574
2/12/2012,1.361822799
2/13/2012,1.361822799
2/14/2012,1.361822799
2/15/2012,1.361822799
2/16/2012,1.361822799
2/17/2012,1.361822799
2/18/2012,1.361822799
2/19/2012,1.361822799
2/20/2012,1.361822799
2/21/2012,1.361822799
2/22/2012,1.361822799
2/23/2012,1.361822799
2/24/2012,1.361748681
2/25/2012,1.361748681
2/26/2012,1.361748681
2/27/2012,1.361748681
2/28/2012,1.361748681
2/29/2012,1.361748681
3/1/2012,1.361748681
3/2/2012,1.361748681
3/3/2012,1.361748681
3/4/2012,1.361748681
3/5/2012,1.22
3/6/2012,1.22
3/7/2012,1.17
3/8/2012,1.17
3/9/2012,1.25
3/10/2012,1.254102871
3/11/2012,1.249795333
3/12/2012,1.25
3/13/2012,1.22
3/14/2012,1.22
3/15/2012,1.22
3/16/2012,1.22
3/17/2012,1.226690606
3/18/2012,1.216141746
3/19/2012,1.22
3/20/2012,1.22
3/21/2012,1.25
3/22/2012,1.31
3/23/2012,1.31
3/24/2012,1.32661666
3/25/2012,1.32646896
3/26/2012,1.36
3/27/2012,1.36
3/28/2012,1.36
3/29/2012,1.36
3/30/2012,1.36
3/31/2012,1.36636977
4/1/2012,1.33347337
4/2/2012,1.33
4/3/2012,1.33
4/4/2012,1.33
4/5/2012,1.22
4/6/2012,1.22
4/7/2012,1.209991351
4/8/2012,1.176612154
4/9/2012,1.22
4/10/2012,1.22
4/11/2012,1.22
4/12/2012,1.22
4/13/2012,1.22
4/14/2012,1.389258221
4/15/2012,1.183383391
4/16/2012,1.11
4/17/2012,1.11
4/18/2012,1.11
4/19/2012,1.06
4/20/2012,1.06
4/21/2012,1.24555333
4/22/2012,1.237171338
4/23/2012,0.94
4/24/2012,0.94
4/25/2012,0.89
4/26/2012,0.83
4/27/2012,0.83
4/28/2012,1.142778859
4/29/2012,1.057901964
4/30/2012,0.89
5/1/2012,0.94
5/2/2012,0.94
5/3/2012,0.94
5/4/2012,1
5/5/2012,1.064961717
5/6/2012,1.182146624
5/7/2012,1
5/8/2012,1
5/9/2012,1
5/10/2012,1
5/11/2012,1
5/12/2012,1.05307524
5/13/2012,1.103847311
5/14/2012,1
5/15/2012,1
5/16/2012,1
5/17/2012,1
5/18/2012,1
5/19/2012,1.026612566
5/20/2012,1.078903035
5/21/2012,0.94
5/22/2012,0.94
5/23/2012,0.89
5/24/2012,0.83
5/25/2012,0.83
5/26/2012,0.860750303
5/27/2012,0.928348944
