Date,Strawberry
10/22/2011,117.28
10/23/2011,121.25
10/24/2011,125
10/25/2011,143
10/26/2011,106
10/27/2011,98
10/28/2011,103
10/29/2011,109.61
10/30/2011,109.27
10/31/2011,105
11/1/2011,116
11/2/2011,63
11/3/2011,83
11/4/2011,58
11/5/2011,68.43
11/6/2011,88.32
11/7/2011,61
11/8/2011,60
11/9/2011,50
11/10/2011,65
11/11/2011,78.45
11/12/2011,53.77
11/13/2011,67.2
11/14/2011,73
11/15/2011,64
11/16/2011,54
11/17/2011,60
11/18/2011,78
11/19/2011,69.23
11/20/2011,54.41
11/21/2011,59
11/22/2011,52
11/23/2011,43
11/24/2011,68.27
11/25/2011,45
11/26/2011,52.11
11/27/2011,38.78
11/28/2011,69
11/29/2011,78
11/30/2011,56
12/1/2011,49
12/2/2011,52
12/3/2011,47.13
12/4/2011,50.74
12/5/2011,57
12/6/2011,41
12/7/2011,20
12/8/2011,13
12/9/2011,29
12/10/2011,30.92
12/11/2011,30.04
12/12/2011,8
12/13/2011,22
12/14/2011,29
12/15/2011,18
12/16/2011,16
12/17/2011,23.42
12/18/2011,24.19
12/19/2011,23
12/20/2011,27
12/21/2011,20
12/22/2011,10
12/23/2011,2
12/24/2011,17.87
12/25/2011,24.76
12/26/2011,59.01
12/27/2011,20
12/28/2011,12
12/29/2011,2
12/30/2011,2
12/31/2011,18.63
1/1/2012,17.48
1/2/2012,17.5
1/3/2012,21.33
1/4/2012,61.41
1/5/2012,55.55
1/6/2012,24.68
1/7/2012,20.9
1/8/2012,17
1/9/2012,18.41
1/10/2012,22.86
1/11/2012,63.34
1/12/2012,52.6
1/13/2012,18.75
1/14/2012,19.93
1/15/2012,19.36
1/16/2012,18.13
1/17/2012,23.95
1/18/2012,74.86
1/19/2012,56.23
1/20/2012,22.17
1/21/2012,22.07
1/22/2012,19.52
1/23/2012,18.7
1/24/2012,45.03
1/25/2012,69.22
1/26/2012,167.89
1/27/2012,65.5
1/28/2012,133.18
1/29/2012,128.99
1/30/2012,128.19
1/31/2012,140.09
2/1/2012,75.08
2/2/2012,75.08
2/3/2012,75.08
2/4/2012,75.08
2/5/2012,75.08
2/6/2012,74.97
2/7/2012,74.97
2/8/2012,74.97
2/9/2012,74.97
2/10/2012,74.97
2/11/2012,74.97
2/12/2012,74.88
2/13/2012,74.88
2/14/2012,74.88
2/15/2012,74.88
2/16/2012,74.88
2/17/2012,74.88
2/18/2012,74.8
2/19/2012,74.8
2/20/2012,74.8
2/21/2012,74.8
2/22/2012,74.8
2/23/2012,74.8
2/24/2012,74.73
2/25/2012,74.73
2/26/2012,74.73
2/27/2012,74.73
2/28/2012,74.73
2/29/2012,74.73
3/1/2012,74.66
3/2/2012,74.66
3/3/2012,74.66
3/4/2012,74.66
3/5/2012,63
3/6/2012,64
3/7/2012,26
3/8/2012,48
3/9/2012,61
3/10/2012,64.37
3/11/2012,66.23
3/12/2012,95
3/13/2012,94
3/14/2012,50
3/15/2012,100
3/16/2012,149
3/17/2012,123.34
3/18/2012,116.84
3/19/2012,57
3/20/2012,40
3/21/2012,18
3/22/2012,48
3/23/2012,83
3/24/2012,81.06
3/25/2012,81.37
3/26/2012,82
3/27/2012,142
3/28/2012,57
3/29/2012,116
3/30/2012,162
3/31/2012,150.57
4/1/2012,142.83
4/2/2012,150
4/3/2012,141
4/4/2012,64
4/5/2012,148
4/6/2012,140
4/7/2012,144.65
4/8/2012,148.45
4/9/2012,326
4/10/2012,204
4/11/2012,21
4/12/2012,245
4/13/2012,13
4/14/2012,63.37
4/15/2012,115.52
4/16/2012,254
4/17/2012,244
4/18/2012,148
4/19/2012,342
4/20/2012,401
4/21/2012,276.51
4/22/2012,302.41
4/23/2012,542
4/24/2012,468
4/25/2012,305
4/26/2012,143
4/27/2012,295
4/28/2012,373.78
4/29/2012,312.01
4/30/2012,510
5/1/2012,544
5/2/2012,408
5/3/2012,410
5/4/2012,414
5/5/2012,376.02
5/6/2012,356.32
5/7/2012,583
5/8/2012,581
5/9/2012,544
5/10/2012,486
5/11/2012,493
5/12/2012,429.76
5/13/2012,390.3
5/14/2012,615
5/15/2012,611
5/16/2012,568
5/17/2012,555
5/18/2012,508
5/19/2012,451.04
5/20/2012,447.07
5/21/2012,670
5/22/2012,639
5/23/2012,567
5/24/2012,521
5/25/2012,504
5/26/2012,478.14
5/27/2012,474.03
5/28/2012,447.59
5/29/2012,476.53
5/30/2012,434
5/31/2012,386
6/1/2012,368
6/2/2012,399.41
6/3/2012,453.35
6/4/2012,426
6/5/2012,380
6/6/2012,317
6/7/2012,300
6/8/2012,274
6/9/2012,283.88
6/10/2012,287.3
6/11/2012,310
6/12/2012,319
6/13/2012,246
6/14/2012,260
6/15/2012,247
6/16/2012,267.81
6/17/2012,266.62
6/18/2012,302
6/19/2012,297
6/20/2012,230
6/21/2012,239
6/22/2012,254
6/23/2012,271.36
6/24/2012,266
6/25/2012,283
6/26/2012,294
6/27/2012,219
6/28/2012,216
6/29/2012,231
6/30/2012,226.22
7/1/2012,247.87
7/2/2012,264
7/3/2012,254
7/4/2012,250.07
7/5/2012,200
7/6/2012,191
7/7/2012,228.43
7/8/2012,214.86
7/9/2012,237
7/10/2012,226
7/11/2012,211
7/12/2012,204
7/13/2012,192
7/14/2012,205.01
7/15/2012,181.21
7/16/2012,216
7/17/2012,192
7/18/2012,166
7/19/2012,161
7/20/2012,170
7/21/2012,186.95
7/22/2012,162.34
7/23/2012,182
7/24/2012,179
7/25/2012,147
7/26/2012,153
7/27/2012,130
7/28/2012,162.08
7/29/2012,145.35
7/30/2012,167
7/31/2012,133
8/1/2012,116
8/2/2012,129
8/3/2012,116
8/4/2012,135.15
8/5/2012,106.73
8/6/2012,147
8/7/2012,123
8/8/2012,115
8/9/2012,122
8/10/2012,129
8/11/2012,132.8
8/12/2012,124.89
8/13/2012,160
8/14/2012,134
8/15/2012,133
8/16/2012,134
8/17/2012,111
8/18/2012,114.01
8/19/2012,122.52
8/20/2012,143
8/21/2012,133
8/22/2012,105
8/23/2012,79
8/24/2012,96
8/25/2012,98.34
8/26/2012,105.95
8/27/2012,112
8/28/2012,105
8/29/2012,91
8/30/2012,97
8/31/2012,98
9/1/2012,98.26
9/2/2012,104.42
9/3/2012,100.38
9/4/2012,99
9/5/2012,97
9/6/2012,102
9/7/2012,91
9/8/2012,91.02
9/9/2012,91.57
9/10/2012,128
9/11/2012,115
9/12/2012,103
9/13/2012,107
9/14/2012,98
9/15/2012,102.25
9/16/2012,107.64
9/17/2012,132
9/18/2012,117
9/19/2012,78
9/20/2012,102
9/21/2012,100
9/22/2012,100.06
9/23/2012,100.2
9/24/2012,152
9/25/2012,132
9/26/2012,98
9/27/2012,120
9/28/2012,112
9/29/2012,114.05
9/30/2012,123.69
10/1/2012,129
10/2/2012,125
10/3/2012,75
10/4/2012,132
10/5/2012,142
10/6/2012,130.37
10/7/2012,134.21
10/8/2012,137.15
10/9/2012,164
10/10/2012,96
10/11/2012,110
10/12/2012,94
10/13/2012,99.99
10/14/2012,117.18
10/15/2012,127
10/16/2012,127
10/17/2012,78
10/18/2012,117
10/19/2012,149
10/20/2012,134.72
10/21/2012,137.32
10/22/2012,162
10/23/2012,107
10/24/2012,73
10/25/2012,73
10/26/2012,71
10/27/2012,85.07
10/28/2012,101.96
10/29/2012,121
10/30/2012,138
10/31/2012,110
11/1/2012,98
11/2/2012,114
11/3/2012,114.26
11/4/2012,128.79
11/5/2012,120
11/6/2012,134
11/7/2012,82
11/8/2012,111
11/9/2012,84
11/10/2012,79.98
11/11/2012,105.2
11/12/2012,96.25
11/13/2012,80
11/14/2012,49
11/15/2012,97
11/16/2012,69
11/17/2012,65.36
11/18/2012,75.48
11/19/2012,82
11/20/2012,100
11/21/2012,74
11/22/2012,78.5
11/23/2012,84
11/24/2012,82.32
11/25/2012,84.6
11/26/2012,93
11/27/2012,93
11/28/2012,42
11/29/2012,37
11/30/2012,44
12/1/2012,55.36
12/2/2012,46.59
12/3/2012,15
12/4/2012,16
12/5/2012,13
12/6/2012,14
12/7/2012,18
12/8/2012,39.47
12/9/2012,37.32
12/10/2012,32
12/11/2012,31
12/12/2012,10
12/13/2012,11
12/14/2012,11
12/15/2012,21.2
12/16/2012,31.38
12/17/2012,15
12/18/2012,12
12/19/2012,4
12/20/2012,4
12/21/2012,8
12/22/2012,21.66
12/23/2012,22.77
12/24/2012,56.97
12/25/2012,23.14
12/26/2012,57.94
12/27/2012,55.68
12/28/2012,32.47
12/29/2012,28.65
12/30/2012,20.18
12/31/2012,20.53
1/1/2013,24.62
1/2/2013,61.61
1/3/2013,53.9
1/4/2013,20.14
1/5/2013,19.01
1/6/2013,17.44
1/7/2013,17.7
1/8/2013,23.84
1/9/2013,73.95
1/10/2013,60.42
1/11/2013,24.61
1/12/2013,22.51
1/13/2013,19.22
1/14/2013,19.9
1/15/2013,52.44
1/16/2013,132.75
1/17/2013,69.19
1/18/2013,136.2
1/19/2013,132.51
1/20/2013,129.54
1/21/2013,128.54
1/22/2013,144.08
1/23/2013,75.27
1/24/2013,75.27
1/25/2013,75.18
1/26/2013,75.18
1/27/2013,75.18
1/28/2013,75.18
1/29/2013,75.18
1/30/2013,75.18
1/31/2013,75.11
2/1/2013,75.11
2/2/2013,75.11
2/3/2013,75.11
2/4/2013,75.11
2/5/2013,75.11
2/6/2013,75.04
2/7/2013,75.04
2/8/2013,75.04
2/9/2013,75.04
2/10/2013,75.04
2/11/2013,75.04
2/12/2013,74.98
2/13/2013,74.98
2/14/2013,74.98
2/15/2013,74.98
2/16/2013,74.98
2/17/2013,74.98
2/18/2013,74.93
2/19/2013,74.93
2/20/2013,74.93
2/21/2013,74.93
2/22/2013,74.93
2/23/2013,74.93
2/24/2013,74.89
2/25/2013,74.89
2/26/2013,74.89
2/27/2013,74.89
2/28/2013,74.89
3/1/2013,74.89
3/2/2013,74.84
3/3/2013,74.84
3/4/2013,74.84
3/5/2013,74.84
3/6/2013,74.84
3/7/2013,74.84
3/8/2013,74.81
3/9/2013,74.81
3/10/2013,74.81
3/11/2013,38
3/12/2013,40
3/13/2013,17
3/14/2013,46
3/15/2013,61
3/16/2013,64.31
3/17/2013,66.07
3/18/2013,114
3/19/2013,117
3/20/2013,27
3/21/2013,81
3/22/2013,109
3/23/2013,85.37
3/24/2013,86.27
3/25/2013,143
3/26/2013,147
3/27/2013,63
3/28/2013,125
3/29/2013,177
3/30/2013,167.44
3/31/2013,151.35
4/1/2013,227
4/2/2013,234
4/3/2013,129
4/4/2013,193
4/5/2013,268
4/6/2013,260.04
4/7/2013,249.57
4/8/2013,414
4/9/2013,394
4/10/2013,283
4/11/2013,347
4/12/2013,340
4/13/2013,293.95
4/14/2013,288.31
4/15/2013,470
4/16/2013,439
4/17/2013,368
4/18/2013,351
4/19/2013,351
4/20/2013,323.88
4/21/2013,311.23
4/22/2013,572
4/23/2013,616
4/24/2013,548
4/25/2013,479
4/26/2013,424
4/27/2013,360.63
4/28/2013,334.38
4/29/2013,605
4/30/2013,646
5/1/2013,572
5/2/2013,552
5/3/2013,520
5/4/2013,438.68
5/5/2013,377.94
5/6/2013,560
5/7/2013,596
5/8/2013,511
5/9/2013,493
5/10/2013,484
5/11/2013,488.02
5/12/2013,448.5
5/13/2013,609
5/14/2013,624
5/15/2013,578
5/16/2013,485
5/17/2013,463
5/18/2013,459.99
5/19/2013,481.54
5/20/2013,487
5/21/2013,521
5/22/2013,479
5/23/2013,393
5/24/2013,352
5/25/2013,386.43
5/26/2013,410.04
5/27/2013,398.21
5/28/2013,417
5/29/2013,380
5/30/2013,303
5/31/2013,286
6/1/2013,295.45
6/2/2013,294.81
6/3/2013,317
6/4/2013,332
6/5/2013,304
6/6/2013,256
6/7/2013,254
6/8/2013,273.31
6/9/2013,268.81
6/10/2013,299
6/11/2013,313
6/12/2013,273
6/13/2013,230
6/14/2013,213
6/15/2013,267.28
6/16/2013,269.03
6/17/2013,236
6/18/2013,242
6/19/2013,203
6/20/2013,173
6/21/2013,187
6/22/2013,246.8
6/23/2013,240.19
6/24/2013,270
6/25/2013,263
6/26/2013,235
6/27/2013,229
6/28/2013,225
6/29/2013,243.28
6/30/2013,228.51
7/1/2013,241
7/2/2013,234
7/3/2013,209
7/4/2013,208.85
7/5/2013,204
7/6/2013,201.05
7/7/2013,213.42
7/8/2013,229
7/9/2013,152
7/10/2013,163
7/11/2013,145
7/12/2013,136
7/13/2013,183.29
7/14/2013,166.53
7/15/2013,146
7/16/2013,151
7/17/2013,153
7/18/2013,119
7/19/2013,119
7/20/2013,142.6
7/21/2013,137.83
7/22/2013,131
7/23/2013,142
7/24/2013,160
7/25/2013,118
7/26/2013,109
7/27/2013,139.97
7/28/2013,137.76
7/29/2013,133
7/30/2013,129
7/31/2013,118
8/1/2013,102
8/2/2013,98
8/3/2013,125
8/4/2013,110.74
8/5/2013,113
8/6/2013,108
8/7/2013,103
8/8/2013,83
8/9/2013,83
8/10/2013,95.26
8/11/2013,86.66
8/12/2013,96
8/13/2013,108
8/14/2013,98
8/15/2013,70
8/16/2013,77
8/17/2013,83.62
8/18/2013,73.56
8/19/2013,105
8/20/2013,118
